,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283
170,0.85,0.89,0.83,0.88,0.88,0.86,0.9,0.91,0.88,0.89,0.92,0.77,0.78,0.84,0.99,0.93,0.95,0.93,0.9,0.85,0.97,0.98,0.92,0.96,0.99,0.95,0.84,0.96,0.92,0.89,0.99,0.89,0.88,0.97,0.95,0.98,0.96,0.94,1.0,0.87,0.95,0.88,0.92,0.95,0.89,0.92,0.97,0.99,0.89,0.97,0.91,0.9,0.94,0.99,0.91,0.92,0.97,0.93,0.88,0.85,0.89,0.87,0.94,0.9,0.9,0.91,0.97,0.87,0.88,0.97,0.89,0.98,0.92,0.94,0.9,0.93,0.98,0.97,0.86,0.9,0.91,0.97,0.94,0.97,0.98,0.85,0.87,0.78,0.79,0.92,0.96,0.91,0.91,0.95,0.98,0.85,0.95,0.91,0.9,0.84,0.87,0.91,0.86,0.94,0.9,0.86,0.87,0.92,0.98,0.85,0.95,0.93,0.88,0.98,0.96,0.82,1.0,0.99,0.84,0.82,0.96,0.94,0.85,0.88,0.95,0.9,0.97,0.89,0.91,0.89,0.98,0.88,0.92,0.89,0.9,0.91,0.93,1.0,1.0,0.94,0.95,0.99,0.88,0.85,0.85,0.98,0.9,0.93,0.93,0.99,0.89,0.96,0.96,0.98,0.88,0.87,0.85,0.99,0.87,0.91,0.99,0.99,0.99,0.91,0.92,0.86,0.99,0.96,0.9,1.0,1.0,0.94,0.95,0.99,0.88,0.85,0.85,0.98,0.9,0.93,0.93,0.99,0.89,0.96,0.96,0.98,0.88,0.87,0.85,0.99,0.87,0.91,0.99,0.99,0.99,0.91,0.92,0.86,0.99,0.96,0.9,0.78,0.84,0.87,0.82,0.91,0.87,0.87,0.9,0.88,0.89,0.94,0.88,0.91,0.92,0.92,0.89,0.98,0.96,0.98,0.95,0.87,0.85,0.91,0.92,0.96,0.95,0.94,0.99,0.86,0.88,0.95,0.92,0.92,0.84,0.87,0.97,0.93,0.9,0.94,0.84,0.9,0.84,0.88,0.96,0.92,0.85,0.96,0.95,0.88,0.92,1.0,0.99,0.85,0.83,0.98,0.84,0.95,0.95,0.92,0.84,0.94,0.94,0.85,0.94,0.95,0.9,0.92,0.8,0.88,0.89,0.84,0.92,0.95,0.88,0.91,0.77,0.92,0.92,0.92,0.8,0.93,0.82,0.88
171,0.97,0.99,0.94,0.98,0.99,0.97,0.99,0.99,0.98,0.98,0.99,0.93,0.94,0.86,0.91,1.0,0.96,0.97,0.99,0.95,1.0,0.99,1.0,1.0,0.88,1.0,0.96,1.0,1.0,0.99,0.91,0.99,0.99,0.84,1.0,0.98,0.81,1.0,0.95,0.98,0.99,0.99,1.0,1.0,0.99,1.0,0.99,0.98,0.99,0.92,1.0,0.99,0.84,0.97,1.0,1.0,0.91,1.0,0.98,0.97,0.78,0.98,1.0,0.72,0.99,0.99,0.84,0.98,0.99,0.94,0.99,0.96,0.99,0.99,0.99,0.99,0.93,0.99,0.98,0.99,0.99,0.87,0.79,0.87,0.98,0.97,0.95,0.94,0.95,0.84,0.82,0.99,0.99,0.92,0.98,0.98,1.0,0.72,0.99,0.97,0.96,0.96,0.84,0.99,0.99,0.98,0.98,1.0,0.86,0.96,0.98,1.0,0.99,0.97,1.0,0.95,0.93,0.98,0.95,0.96,0.99,1.0,0.97,0.99,1.0,0.99,0.99,0.99,0.99,0.98,0.9,0.99,1.0,0.99,0.97,0.99,1.0,0.94,0.94,1.0,0.89,0.9,0.99,0.98,0.97,0.86,0.97,1.0,1.0,0.98,0.99,1.0,1.0,0.99,0.68,0.81,0.98,0.95,0.98,0.99,0.93,0.91,0.89,0.99,1.0,0.98,0.94,0.99,0.98,0.94,0.94,1.0,0.89,0.9,0.99,0.98,0.97,0.86,0.97,1.0,1.0,0.98,0.99,1.0,1.0,0.99,0.68,0.81,0.98,0.95,0.98,0.99,0.93,0.91,0.89,0.99,1.0,0.98,0.94,0.99,0.98,0.94,0.97,0.98,0.92,0.78,0.98,0.98,0.99,0.98,0.99,0.89,0.99,0.99,0.99,0.81,0.99,0.89,0.99,0.98,0.99,0.96,0.97,0.99,0.78,0.97,0.96,0.99,0.94,0.98,0.99,0.86,0.8,0.99,0.93,0.97,0.98,0.99,0.99,0.99,0.97,0.99,0.97,0.98,0.83,1.0,0.98,1.0,1.0,0.99,1.0,0.93,0.98,0.98,0.97,0.96,0.97,0.98,0.88,1.0,0.97,0.99,0.99,0.97,0.87,0.88,0.99,0.99,0.95,0.95,0.99,0.97,1.0,0.99,0.99,0.99,0.93,0.99,1.0,0.99,0.94,0.99,0.96,0.98
172,0.85,0.84,0.86,0.82,0.82,0.86,0.84,0.84,0.87,0.88,0.89,0.76,0.77,0.94,0.92,0.89,0.97,0.96,0.84,0.89,0.91,0.95,0.87,0.93,0.96,0.9,0.84,0.92,0.88,0.84,0.93,0.85,0.83,0.96,0.91,0.96,0.93,0.89,0.95,0.82,0.93,0.83,0.86,0.9,0.84,0.87,0.91,0.95,0.84,1.0,0.86,0.85,0.99,0.96,0.85,0.87,1.0,0.88,0.85,0.8,0.93,0.81,0.89,0.86,0.84,0.86,0.91,0.81,0.82,0.97,0.85,0.96,0.85,0.86,0.84,0.88,0.87,0.89,0.82,0.84,0.85,0.95,0.87,0.95,0.91,0.84,0.9,0.77,0.79,0.98,0.89,0.84,0.86,0.97,0.92,0.81,0.9,0.86,0.85,0.8,0.89,0.93,0.95,0.92,0.85,0.83,0.82,0.87,0.92,0.87,0.95,0.9,0.82,0.97,0.91,0.82,0.95,0.93,0.87,0.8,0.92,0.87,0.84,0.83,0.89,0.84,0.92,0.84,0.85,0.87,0.95,0.84,0.87,0.86,0.91,0.86,0.86,0.93,0.95,0.89,1.0,0.97,0.84,0.82,0.81,0.95,0.92,0.87,0.87,0.95,0.84,0.91,0.91,0.94,0.87,0.98,0.81,0.97,0.82,0.88,0.97,0.93,0.94,0.89,0.87,0.81,0.93,0.9,0.92,0.93,0.95,0.89,1.0,0.97,0.84,0.82,0.81,0.95,0.92,0.87,0.87,0.95,0.84,0.91,0.91,0.94,0.87,0.98,0.81,0.97,0.82,0.88,0.97,0.93,0.94,0.89,0.87,0.81,0.93,0.9,0.92,0.77,0.8,0.82,0.87,0.93,0.82,0.85,0.84,0.83,0.86,0.96,0.82,0.84,0.86,0.95,0.83,0.95,0.88,0.9,0.87,0.89,0.81,0.89,0.92,0.86,0.94,0.88,0.92,0.81,0.82,0.96,0.94,0.87,0.89,0.85,0.87,0.86,0.86,0.85,0.8,0.87,0.8,0.83,0.94,0.87,0.81,0.91,0.91,0.82,0.85,0.95,0.93,0.82,0.81,0.96,0.8,0.93,0.81,0.87,0.8,0.91,0.9,0.8,0.79,0.8,0.86,0.9,0.78,0.93,0.84,0.8,0.87,0.93,0.82,0.87,0.78,0.87,0.87,0.88,0.82,0.91,0.79,0.87
173,0.82,0.84,0.8,0.82,0.83,0.83,0.85,0.86,0.84,0.85,0.88,0.72,0.73,0.87,0.98,0.89,0.94,0.93,0.85,0.83,0.93,0.96,0.88,0.94,1.0,0.91,0.8,0.93,0.88,0.84,0.99,0.85,0.83,0.99,0.92,0.97,0.98,0.9,0.99,0.81,0.93,0.83,0.87,0.91,0.84,0.88,0.94,0.97,0.84,0.99,0.86,0.86,0.97,0.98,0.87,0.88,0.99,0.89,0.83,0.8,0.92,0.81,0.9,0.93,0.85,0.86,0.97,0.81,0.82,0.97,0.85,0.96,0.87,0.89,0.85,0.89,0.95,0.93,0.81,0.85,0.86,0.98,0.95,0.98,0.95,0.81,0.85,0.73,0.75,0.95,0.96,0.86,0.86,0.95,0.95,0.8,0.91,0.93,0.85,0.79,0.85,0.89,0.88,0.91,0.85,0.81,0.82,0.88,0.98,0.82,0.94,0.9,0.83,0.97,0.92,0.78,0.99,0.97,0.82,0.77,0.93,0.89,0.81,0.83,0.91,0.85,0.94,0.85,0.87,0.86,0.99,0.84,0.88,0.85,0.88,0.87,0.88,0.98,0.99,0.9,0.97,1.0,0.84,0.8,0.8,0.99,0.88,0.88,0.89,0.97,0.85,0.92,0.93,0.96,0.92,0.91,0.8,0.99,0.81,0.87,0.99,0.99,0.99,0.88,0.88,0.81,0.98,0.92,0.88,0.98,0.99,0.9,0.97,1.0,0.84,0.8,0.8,0.99,0.88,0.88,0.89,0.97,0.85,0.92,0.93,0.96,0.92,0.91,0.8,0.99,0.81,0.87,0.99,0.99,0.99,0.88,0.88,0.81,0.98,0.92,0.88,0.72,0.79,0.81,0.81,0.94,0.81,0.83,0.85,0.83,0.85,0.95,0.83,0.86,0.88,0.95,0.83,0.98,0.91,0.95,0.9,0.84,0.8,0.87,0.94,0.92,0.93,0.9,0.97,0.8,0.83,0.97,0.95,0.88,0.83,0.82,0.92,0.88,0.86,0.88,0.79,0.86,0.78,0.82,0.97,0.87,0.8,0.93,0.92,0.83,0.87,0.99,0.97,0.81,0.78,0.97,0.79,0.92,0.91,0.88,0.79,0.91,0.9,0.79,0.9,0.91,0.86,0.88,0.75,0.87,0.84,0.79,0.88,0.92,0.82,0.87,0.73,0.87,0.88,0.88,0.77,0.9,0.77,0.84
174,0.99,1.0,0.96,1.0,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.85,0.84,0.99,0.94,0.96,0.99,0.97,0.97,0.95,1.0,0.97,0.81,0.99,0.99,0.97,0.99,1.0,0.83,1.0,1.0,0.75,0.98,0.94,0.72,0.99,0.89,1.0,0.98,1.0,0.99,0.98,1.0,0.99,0.96,0.93,1.0,0.86,1.0,1.0,0.78,0.92,0.99,0.99,0.85,0.99,0.99,0.99,0.71,1.0,0.98,0.61,0.99,0.99,0.75,1.0,1.0,0.9,1.0,0.93,0.99,0.98,0.99,0.99,0.86,0.96,1.0,1.0,0.99,0.79,0.69,0.79,0.94,0.99,0.96,0.98,0.98,0.78,0.72,0.99,0.99,0.88,0.95,1.0,0.98,0.61,1.0,1.0,0.97,0.95,0.82,0.97,1.0,1.0,1.0,0.99,0.78,0.98,0.96,0.99,1.0,0.94,0.98,0.99,0.87,0.94,0.98,0.99,0.97,0.99,0.99,1.0,0.98,1.0,0.96,1.0,0.99,0.99,0.83,1.0,0.99,0.99,0.97,0.99,0.99,0.88,0.88,0.99,0.84,0.84,1.0,1.0,1.0,0.77,0.98,0.99,0.99,0.94,1.0,0.98,0.97,0.95,0.57,0.77,1.0,0.9,1.0,1.0,0.87,0.84,0.81,0.99,0.99,1.0,0.88,0.97,0.98,0.88,0.88,0.99,0.84,0.84,1.0,1.0,1.0,0.77,0.98,0.99,0.99,0.94,1.0,0.98,0.97,0.95,0.57,0.77,1.0,0.9,1.0,1.0,0.87,0.84,0.81,0.99,0.99,1.0,0.88,0.97,0.98,0.98,0.99,1.0,0.94,0.71,1.0,0.99,0.99,1.0,0.99,0.84,1.0,0.99,0.99,0.74,1.0,0.82,0.97,0.94,0.97,0.97,1.0,0.99,0.7,0.93,0.94,0.98,0.88,1.0,1.0,0.8,0.72,0.99,0.94,0.99,0.94,0.98,0.99,0.98,0.99,1.0,1.0,1.0,0.74,1.0,1.0,0.97,0.98,1.0,0.99,0.87,0.93,1.0,0.99,0.91,1.0,0.97,0.8,0.99,1.0,0.98,0.98,1.0,0.8,0.81,1.0,0.99,0.98,0.95,1.0,1.0,0.99,0.97,1.0,0.99,0.97,0.99,0.99,0.99,0.97,0.98,0.99,0.99
175,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.99,0.99,0.84,0.8,0.98,0.93,0.95,0.99,0.98,0.95,0.93,0.99,0.96,0.77,0.97,0.99,0.96,0.99,0.99,0.8,0.99,1.0,0.71,0.97,0.92,0.67,0.98,0.86,1.0,0.96,1.0,0.98,0.97,1.0,0.98,0.94,0.91,0.99,0.84,0.99,0.99,0.75,0.89,0.99,0.99,0.82,0.98,0.99,1.0,0.68,0.99,0.97,0.56,0.99,0.99,0.71,1.0,0.99,0.88,0.99,0.9,0.98,0.96,0.99,0.98,0.83,0.94,1.0,0.99,0.98,0.76,0.65,0.75,0.91,0.99,0.96,0.99,0.99,0.75,0.68,0.98,0.99,0.86,0.93,1.0,0.97,0.55,0.99,1.0,0.97,0.95,0.81,0.96,0.99,1.0,1.0,0.98,0.73,0.98,0.95,0.98,0.99,0.92,0.96,0.99,0.84,0.91,0.98,1.0,0.95,0.97,1.0,0.99,0.96,0.99,0.94,0.99,0.98,0.99,0.79,0.99,0.98,0.99,0.97,0.98,0.98,0.85,0.85,0.98,0.82,0.8,1.0,1.0,1.0,0.73,0.97,0.98,0.98,0.92,0.99,0.96,0.96,0.93,0.51,0.75,1.0,0.87,1.0,0.99,0.84,0.8,0.77,0.99,0.98,1.0,0.85,0.95,0.98,0.85,0.85,0.98,0.82,0.8,1.0,1.0,1.0,0.73,0.97,0.98,0.98,0.92,0.99,0.96,0.96,0.93,0.51,0.75,1.0,0.87,1.0,0.99,0.84,0.8,0.77,0.99,0.98,1.0,0.85,0.95,0.98,0.99,1.0,0.99,0.95,0.67,1.0,0.99,0.99,0.99,0.99,0.82,0.99,0.98,0.98,0.71,0.99,0.78,0.95,0.91,0.95,0.97,1.0,0.98,0.66,0.9,0.92,0.97,0.85,1.0,0.99,0.77,0.68,0.98,0.94,0.99,0.92,0.97,0.99,0.96,1.0,0.99,1.0,1.0,0.7,0.99,1.0,0.96,0.96,1.0,0.98,0.84,0.91,1.0,1.0,0.89,1.0,0.96,0.76,0.98,1.0,0.97,0.97,1.0,0.76,0.77,0.99,0.98,0.99,0.95,0.99,1.0,0.98,0.96,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,1.0,0.99
176,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.98,0.99,0.99,0.83,0.8,0.98,0.93,0.94,0.99,0.97,0.95,0.93,0.99,0.96,0.76,0.97,0.99,0.96,0.99,0.99,0.79,0.99,1.0,0.71,0.96,0.91,0.67,0.98,0.86,1.0,0.96,1.0,0.98,0.97,1.0,0.98,0.94,0.9,1.0,0.83,0.99,0.99,0.74,0.89,0.99,0.99,0.82,0.98,0.99,1.0,0.67,0.99,0.97,0.56,0.99,0.99,0.71,1.0,1.0,0.87,0.99,0.9,0.98,0.96,0.99,0.98,0.83,0.94,1.0,0.99,0.98,0.75,0.64,0.75,0.91,0.99,0.96,0.99,0.99,0.74,0.68,0.98,0.99,0.86,0.93,1.0,0.97,0.55,0.99,1.0,0.97,0.94,0.8,0.96,0.99,1.0,1.0,0.98,0.73,0.98,0.95,0.98,0.99,0.91,0.96,0.99,0.83,0.91,0.98,1.0,0.95,0.97,1.0,0.99,0.96,0.99,0.94,0.99,0.98,0.99,0.79,0.99,0.98,0.99,0.97,0.98,0.98,0.85,0.85,0.97,0.81,0.8,1.0,1.0,1.0,0.73,0.97,0.98,0.98,0.91,0.99,0.96,0.96,0.93,0.51,0.74,1.0,0.86,1.0,0.99,0.83,0.8,0.77,0.99,0.98,1.0,0.85,0.95,0.97,0.85,0.85,0.97,0.81,0.8,1.0,1.0,1.0,0.73,0.97,0.98,0.98,0.91,0.99,0.96,0.96,0.93,0.51,0.74,1.0,0.86,1.0,0.99,0.83,0.8,0.77,0.99,0.98,1.0,0.85,0.95,0.97,0.99,1.0,1.0,0.95,0.67,1.0,0.99,0.99,0.99,0.99,0.82,0.99,0.98,0.98,0.7,0.99,0.78,0.95,0.91,0.95,0.97,1.0,0.98,0.66,0.91,0.92,0.97,0.85,1.0,0.99,0.76,0.68,0.98,0.94,0.99,0.92,0.97,0.99,0.96,1.0,0.99,1.0,1.0,0.7,0.99,1.0,0.96,0.96,1.0,0.98,0.83,0.91,1.0,1.0,0.89,1.0,0.95,0.76,0.98,1.0,0.97,0.97,1.0,0.76,0.77,0.99,0.98,0.99,0.94,0.99,1.0,0.98,0.96,1.0,0.99,0.98,0.99,0.98,0.98,0.98,0.97,1.0,0.98
177,0.74,0.77,0.73,0.76,0.76,0.76,0.79,0.81,0.78,0.79,0.83,0.64,0.65,0.82,0.97,0.84,0.9,0.87,0.8,0.76,0.89,0.92,0.82,0.89,1.0,0.86,0.72,0.89,0.82,0.78,0.98,0.78,0.77,0.99,0.87,0.94,0.99,0.85,0.97,0.75,0.88,0.77,0.82,0.87,0.77,0.82,0.9,0.95,0.78,0.97,0.8,0.8,0.96,0.96,0.81,0.82,0.97,0.84,0.77,0.73,0.92,0.75,0.85,0.96,0.8,0.8,0.98,0.75,0.76,0.94,0.78,0.93,0.82,0.85,0.79,0.84,0.94,0.89,0.74,0.79,0.81,0.98,0.97,0.98,0.92,0.74,0.78,0.65,0.67,0.94,0.98,0.8,0.8,0.93,0.92,0.73,0.87,0.97,0.79,0.72,0.79,0.84,0.85,0.87,0.79,0.75,0.75,0.83,0.99,0.75,0.89,0.84,0.77,0.94,0.88,0.7,0.98,0.94,0.74,0.69,0.89,0.84,0.74,0.77,0.87,0.79,0.9,0.78,0.81,0.79,0.98,0.77,0.82,0.79,0.82,0.81,0.83,0.97,0.98,0.86,0.95,0.99,0.77,0.73,0.73,1.0,0.82,0.83,0.84,0.94,0.78,0.88,0.89,0.93,0.96,0.89,0.73,0.97,0.75,0.82,0.98,0.98,0.99,0.82,0.83,0.74,0.97,0.89,0.82,0.97,0.98,0.86,0.95,0.99,0.77,0.73,0.73,1.0,0.82,0.83,0.84,0.94,0.78,0.88,0.89,0.93,0.96,0.89,0.73,0.97,0.75,0.82,0.98,0.98,0.99,0.82,0.83,0.74,0.97,0.89,0.82,0.64,0.71,0.75,0.73,0.94,0.75,0.76,0.79,0.76,0.79,0.93,0.77,0.8,0.83,0.95,0.77,0.98,0.88,0.92,0.86,0.77,0.73,0.82,0.95,0.89,0.89,0.85,0.96,0.73,0.77,0.96,0.96,0.82,0.76,0.76,0.89,0.83,0.8,0.84,0.72,0.8,0.71,0.76,0.99,0.82,0.73,0.89,0.88,0.76,0.82,0.98,0.94,0.74,0.71,0.94,0.72,0.88,0.92,0.83,0.72,0.86,0.85,0.72,0.91,0.92,0.8,0.83,0.67,0.82,0.78,0.72,0.83,0.88,0.76,0.81,0.64,0.82,0.83,0.83,0.68,0.85,0.69,0.78
178,0.98,0.97,0.98,0.96,0.96,0.98,0.97,0.96,0.98,0.99,0.98,0.95,0.95,0.93,0.85,0.98,0.98,0.99,0.96,0.99,0.97,0.97,0.98,0.98,0.85,0.98,0.98,0.97,0.98,0.97,0.85,0.98,0.97,0.82,0.97,0.96,0.77,0.98,0.91,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.95,0.94,0.97,0.93,0.97,0.97,0.87,0.94,0.97,0.97,0.92,0.97,0.98,0.96,0.8,0.96,0.97,0.67,0.97,0.97,0.79,0.96,0.97,0.94,0.98,0.95,0.96,0.95,0.97,0.97,0.85,0.94,0.97,0.97,0.96,0.84,0.73,0.84,0.93,0.98,0.99,0.96,0.96,0.86,0.76,0.96,0.97,0.94,0.95,0.97,0.98,0.66,0.98,0.97,0.99,0.99,0.91,0.99,0.97,0.98,0.97,0.97,0.81,0.99,0.99,0.99,0.96,0.96,0.97,0.98,0.89,0.94,0.99,0.97,0.97,0.96,0.98,0.97,0.96,0.97,0.96,0.97,0.96,0.98,0.87,0.97,0.97,0.98,0.99,0.97,0.96,0.89,0.9,0.97,0.92,0.88,0.98,0.97,0.97,0.82,1.0,0.97,0.97,0.95,0.97,0.98,0.96,0.96,0.65,0.88,0.97,0.93,0.97,0.99,0.91,0.86,0.85,0.99,0.97,0.97,0.89,0.96,1.0,0.89,0.9,0.97,0.92,0.88,0.98,0.97,0.97,0.82,1.0,0.97,0.97,0.95,0.97,0.98,0.96,0.96,0.65,0.88,0.97,0.93,0.97,0.99,0.91,0.86,0.85,0.99,0.97,0.97,0.89,0.96,1.0,0.96,0.97,0.96,0.97,0.79,0.97,0.98,0.97,0.97,0.98,0.9,0.96,0.96,0.96,0.82,0.96,0.86,0.94,0.92,0.94,0.99,0.97,0.98,0.77,0.9,0.97,0.97,0.89,0.97,0.96,0.86,0.8,0.97,0.98,0.98,0.92,0.96,0.98,0.94,0.97,0.98,0.96,0.97,0.8,0.98,0.97,0.97,0.98,0.97,0.96,0.9,0.94,0.98,0.97,0.94,0.97,0.99,0.77,0.97,0.97,0.98,0.98,0.97,0.76,0.78,0.98,0.99,0.96,0.99,0.97,0.97,0.97,0.98,0.97,0.98,0.96,0.98,0.97,0.98,0.97,0.98,0.96,0.98
179,0.97,0.99,0.94,0.99,0.99,0.97,0.99,1.0,0.98,0.98,0.99,0.94,0.95,0.84,0.89,1.0,0.95,0.96,1.0,0.95,0.99,0.98,1.0,0.99,0.86,1.0,0.96,0.99,1.0,1.0,0.89,0.99,0.99,0.81,0.99,0.96,0.79,1.0,0.93,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.99,0.97,0.99,0.9,1.0,1.0,0.81,0.96,1.0,1.0,0.88,1.0,0.99,0.98,0.75,0.99,0.99,0.69,1.0,1.0,0.82,0.99,0.99,0.93,0.99,0.95,1.0,0.99,0.99,1.0,0.92,0.98,0.98,0.99,1.0,0.85,0.77,0.85,0.97,0.97,0.95,0.95,0.95,0.81,0.8,1.0,1.0,0.91,0.98,0.98,1.0,0.69,1.0,0.98,0.96,0.95,0.82,0.98,1.0,0.98,0.99,1.0,0.84,0.96,0.97,1.0,0.99,0.96,0.99,0.96,0.92,0.97,0.95,0.97,0.99,1.0,0.98,0.99,1.0,1.0,0.98,0.99,1.0,0.98,0.88,0.99,1.0,0.99,0.97,1.0,1.0,0.93,0.93,1.0,0.87,0.88,0.99,0.98,0.98,0.83,0.97,1.0,1.0,0.97,1.0,0.99,0.99,0.98,0.65,0.78,0.98,0.93,0.99,0.99,0.91,0.9,0.87,0.99,1.0,0.99,0.93,0.99,0.97,0.93,0.93,1.0,0.87,0.88,0.99,0.98,0.98,0.83,0.97,1.0,1.0,0.97,1.0,0.99,0.99,0.98,0.65,0.78,0.98,0.93,0.99,0.99,0.91,0.9,0.87,0.99,1.0,0.99,0.93,0.99,0.97,0.94,0.98,0.99,0.92,0.76,0.99,0.98,0.99,0.99,0.99,0.87,0.99,1.0,1.0,0.78,0.99,0.87,0.99,0.97,0.99,0.95,0.98,0.99,0.76,0.97,0.95,0.99,0.93,0.98,0.99,0.84,0.77,1.0,0.92,0.98,0.98,1.0,0.99,0.99,0.98,0.99,0.98,0.99,0.8,1.0,0.98,0.99,0.99,0.99,1.0,0.92,0.97,0.98,0.97,0.94,0.98,0.98,0.87,1.0,0.98,0.99,0.99,0.98,0.87,0.88,1.0,0.99,0.96,0.94,0.99,0.98,1.0,0.98,0.99,0.99,0.94,1.0,1.0,0.99,0.94,0.98,0.97,0.98
180,0.97,0.99,0.94,0.99,0.99,0.97,0.99,1.0,0.98,0.98,0.99,0.94,0.95,0.84,0.9,1.0,0.95,0.96,1.0,0.95,0.99,0.98,1.0,0.99,0.87,1.0,0.96,0.99,1.0,0.99,0.9,0.99,0.99,0.82,0.99,0.97,0.8,1.0,0.94,0.99,0.99,0.99,1.0,0.99,0.99,1.0,0.99,0.97,0.99,0.9,1.0,1.0,0.82,0.96,1.0,1.0,0.89,1.0,0.99,0.98,0.76,0.99,0.99,0.7,1.0,0.99,0.83,0.99,0.99,0.93,0.99,0.96,1.0,0.99,0.99,0.99,0.92,0.98,0.98,0.99,1.0,0.85,0.78,0.85,0.97,0.97,0.95,0.95,0.95,0.82,0.81,1.0,1.0,0.91,0.98,0.98,1.0,0.7,0.99,0.98,0.96,0.95,0.83,0.98,1.0,0.98,0.99,1.0,0.85,0.96,0.97,1.0,0.99,0.96,0.99,0.96,0.92,0.97,0.95,0.96,0.99,1.0,0.97,0.99,1.0,0.99,0.99,0.99,1.0,0.98,0.88,0.99,1.0,0.99,0.97,1.0,1.0,0.94,0.93,1.0,0.87,0.89,0.99,0.98,0.98,0.84,0.97,1.0,1.0,0.97,0.99,1.0,0.99,0.98,0.66,0.79,0.98,0.94,0.99,1.0,0.92,0.9,0.87,0.99,1.0,0.98,0.94,0.99,0.97,0.94,0.93,1.0,0.87,0.89,0.99,0.98,0.98,0.84,0.97,1.0,1.0,0.97,0.99,1.0,0.99,0.98,0.66,0.79,0.98,0.94,0.99,1.0,0.92,0.9,0.87,0.99,1.0,0.98,0.94,0.99,0.97,0.94,0.98,0.99,0.92,0.76,0.98,0.98,0.99,0.99,0.99,0.88,0.99,1.0,1.0,0.79,0.99,0.87,0.99,0.97,0.99,0.95,0.98,0.99,0.76,0.97,0.96,0.99,0.93,0.98,0.99,0.85,0.78,1.0,0.92,0.98,0.98,1.0,0.99,0.99,0.98,0.99,0.98,0.99,0.81,1.0,0.98,0.99,0.99,0.99,1.0,0.92,0.97,0.98,0.97,0.95,0.98,0.98,0.88,1.0,0.98,0.99,0.99,0.98,0.87,0.88,0.99,0.99,0.95,0.94,0.99,0.98,1.0,0.98,0.99,0.99,0.93,1.0,1.0,0.99,0.94,0.98,0.96,0.98
